Activity Type,Date,Title,Distance,Time,Avg Pace,Total Ascent,Steps
Running,2024-02-13 10:18:18,Berkeley Running,3.12,00:26:14,8:24,89,"4,706"
Running,2024-02-12 16:27:46,Berkeley Running,11.18,01:15:29,6:45,305,"13,986"
Running,2024-02-11 21:49:01,Berkeley Running,6.71,00:49:05,7:19,69,"9,104"
Running,2024-02-10 18:02:29,Berkeley Running,6.07,00:47:48,7:52,52,"8,702"
Running,2024-02-09 07:58:25,Berkeley Running,13.51,02:01:15,8:58,512,"21,656"
Running,2024-02-08 17:26:30,Berkeley Running,6.82,00:54:12,7:57,"1,040","9,880"
Running,2024-02-07 16:40:58,Berkeley Running,8.30,01:01:12,7:23,387,"11,222"
Running,2024-02-06 11:28:18,Berkeley Running,8.50,00:58:23,6:52,295,"10,676"
Running,2024-02-05 22:37:49,Berkeley Running,5.11,00:38:23,7:30,400,"7,008"
Running,2024-02-04 07:36:48,San Francisco Running,7.55,01:09:19,9:11,397,"12,340"
Running,2024-02-03 14:56:03,Berkeley Running,6.06,00:49:21,8:08,331,"8,912"
Running,2024-02-03 13:36:07,Berkeley Running,2.47,00:19:43,7:59,128,"3,538"
Running,2024-02-02 22:12:22,Berkeley Running,3.81,00:30:54,8:07,82,"5,546"
Running,2024-02-01 20:58:31,Berkeley Running,8.04,01:02:13,7:44,725,"11,266"
Running,2024-01-31 09:25:28,Berkeley Running,0.45,00:04:05.7,9:01,39,722
Running,2024-01-31 09:09:53,Berkeley Running,0.38,00:01:24.6,3:45,16,150
Running,2024-01-31 08:27:18,Berkeley Running,5.16,00:38:22,7:26,141,"6,944"
Running,2024-01-30 19:42:43,Berkeley Running,5.02,00:36:15,7:14,75,"6,620"
Running,2024-01-29 09:59:47,Berkeley Running,0.16,00:00:33.8,3:29,23,70
Running,2024-01-29 09:00:09,Berkeley Running,7.19,00:52:28,7:18,20,"9,428"
Running,2024-01-28 08:52:10,Berkeley Running,10.06,01:30:59,9:03,492,"16,066"
Running,2024-01-27 18:03:32,Berkeley Running,8.42,01:00:38,7:12,299,"11,028"
Running,2024-01-26 17:23:58,Berkeley Running,6.02,00:52:34,8:44,341,"9,374"
Running,2024-01-25 11:32:56,Berkeley Running,6.63,00:42:41,6:26,85,"7,866"
Running,2024-01-24 09:50:22,Berkeley Running,0.62,00:04:13.5,6:46,--,774
Running,2024-01-24 07:23:19,Berkeley Running,10.82,01:36:20,8:54,863,"17,234"
Running,2024-01-23 09:04:12,Berkeley Running,5.33,00:43:26,8:09,390,"7,726"
Running,2024-01-22 16:36:13,Berkeley Running,6.02,00:48:06,8:00,30,"8,608"
Running,2024-01-21 15:32:42,Berkeley Running,9.29,01:05:02,7:00,292,"11,764"
Running,2024-01-20 15:15:55,Berkeley Running,5.09,00:38:13,7:30,148,"6,890"
Running,2024-01-19 16:40:56,Berkeley Running,8.23,01:04:42,7:52,364,"11,554"
